timestamp,rtt_ms,src_ip,dst_ip,packet_size
2026-05-13 10:03:35.417931080,216.545,192.168.4.189,20.189.172.33,66
2026-05-13 10:03:35.417968035,0.036000000000000004,20.189.172.33,192.168.4.189,66
2026-05-13 10:03:35.426759005,225.301,192.168.4.189,20.189.172.33,66
2026-05-13 10:03:35.426795959,0.036000000000000004,20.189.172.33,192.168.4.189,66
2026-05-13 10:03:35.634465933,216.281,192.168.4.189,20.189.172.33,571
2026-05-13 10:03:35.635021925,0.555,20.189.172.33,192.168.4.189,153
2026-05-13 10:03:35.651973009,224.98000000000002,192.168.4.189,20.189.172.33,571
2026-05-13 10:03:35.652570963,0.597,20.189.172.33,192.168.4.189,153
2026-05-13 10:03:35.853403091,218.381,192.168.4.189,20.189.172.33,500
2026-05-13 10:03:35.853429079,0.025,20.189.172.33,192.168.4.189,1514
2026-05-13 10:03:35.853524923,0.01,20.189.172.33,192.168.4.189,767
2026-05-13 10:03:35.879409075,226.83800000000002,192.168.4.189,20.189.172.33,500
2026-05-13 10:03:35.879532099,0.008,20.189.172.33,192.168.4.189,1514
2026-05-13 10:03:35.879767895,0.007,20.189.172.33,192.168.4.189,767
2026-05-13 10:03:36.070564032,215.89600000000002,192.168.4.189,20.189.172.33,955
2026-05-13 10:03:36.105614901,224.89600000000002,192.168.4.189,20.189.172.33,919
2026-05-13 10:03:36.116967916,46.403,20.189.172.33,192.168.4.189,157
2026-05-13 10:03:36.147741079,42.126,20.189.172.33,192.168.4.189,157
2026-05-13 10:03:36.356081009,216.385,192.168.4.189,20.189.172.33,54
2026-05-13 10:03:36.442800045,225.571,192.168.4.189,20.189.172.33,54
2026-05-13 10:03:37.068877935,16.643,192.168.4.189,172.64.148.235,144
2026-05-13 10:03:37.224879026,50.117000000000004,172.64.148.235,192.168.4.189,133
2026-05-13 10:03:38.273710966,16.531,192.168.4.189,172.64.148.235,144
2026-05-13 10:03:38.442095995,54.266,172.64.148.235,192.168.4.189,133
2026-05-13 10:03:39.903534889,16.523,192.168.4.189,142.251.43.197,4805
2026-05-13 10:03:39.904974937,17.873,192.168.4.189,142.251.43.197,596
2026-05-13 10:03:39.909828901,16.584999999999997,192.168.4.189,142.251.43.197,5011
2026-05-13 10:03:39.955485106,50.51,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:40.038938046,16.474,192.168.4.189,142.251.43.197,4751
2026-05-13 10:03:40.118841887,1.423,162.125.40.1,192.168.4.189,169
2026-05-13 10:03:40.239897966,0.007,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.240099907,0.003,142.251.43.197,192.168.4.189,928
2026-05-13 10:03:40.261835098,20.833000000000002,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:40.363364935,0.01,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.364002943,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.364866972,0.004,142.251.43.197,192.168.4.189,1276
2026-05-13 10:03:40.365844011,0.42700000000000005,142.251.43.197,192.168.4.189,589
2026-05-13 10:03:40.366919994,0.009000000000000001,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.367001057,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.367415905,0.002,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.367569923,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.368365049,0.024,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.368432999,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.369268894,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.369373083,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.370050907,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.370183945,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.370954037,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.371061087,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.372184038,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.372325897,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.373169899,0.002,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.373280048,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.373982906,0.002,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.374090910,0.002,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.375334024,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.375446081,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.376245975,0.002,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.376358986,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:40.376987934,0.004,142.251.43.197,192.168.4.189,1466
